,,First Name,Last Name,Team,GP,Points,Comp,Pass Attempts,Pass Yards,Pass TDs,Rush Yards,Rush TDs,Rush Attempts,Targets,Rec Yards,Rec TDs,Receptions,FG Made,FG Att,FG %,XP Made,Sacks,INTs,Fumbles Rec,Safeties,Def TDs,Pts Against
RB,100,Deuce,Vaughn,DAL,6,15,,,,,40,0,23,7,40,0,7,,,,,,,,,,
RB,101,Trayveon,Williams,CIN,14,14.9,,,,,69,0,15,9,10,0,7,,,,,,,,,,
RB,102,Emanuel,Wilson,GB,5,14.8,,,,,85,0,14,5,23,0,4,,,,,,,,,,
RB,103,Keaontay,Ingram,ARI,7,14,,,,,74,0,35,4,26,0,4,,,,,,,,,,
RB,104,LaMical,Perine,KC,2,14,,,,,77,0,22,5,33,0,3,,,,,,,,,,
RB,105,Mike,Boone,HOU,7,13.3,,,,,23,0,5,9,40,0,7,,,,,,,,,,
RB,106,Eric,Gray,NYG,5,13,,,,,48,0,17,7,22,0,6,,,,,,,,,,
RB,107,Hunter,Luepke,DAL,6,12.7,,,,,19,1,6,4,18,0,3,,,,,,,,,,
RB,108,DeeJay,Dallas,SEA,10,12.2,,,,,36,0,10,9,26,0,6,,,,,,,,,,
RB,109,J.K.,Dobbins,BAL,1,11.7,,,,,22,1,8,3,15,0,2,,,,,,,,,,
RB,110,Gary,Brightwell,NYG,3,11.6,,,,,19,0,9,7,47,0,5,,,,,,,,,,
RB,111,Nick,Bawden,NYJ,5,11.5,,,,,4,1,2,3,21,0,3,,,,,,,,,,
RB,112,Chris,Brooks,MIA,3,10.6,,,,,106,0,19,0,0,0,0,,,,,,,,,,
RB,113,C.J.,Ham,MIN,6,10.2,,,,,7,0,1,9,25,0,7,,,,,,,,,,
RB,114,Ty,Montgomery,NE,7,9.9,,,,,9,0,3,12,40,0,5,,,,,,,,,,
RB,115,Brandon,Bolden,LV,3,9.1,,,,,31,1,4,0,0,0,0,,,,,,,,,,
RB,116,Deon,Jackson,IND,2,8,,,,,16,0,14,6,14,0,5,,,,,,,,,,
RB,117,Damien,Williams,ARI,3,7.5,,,,,43,0,11,2,12,0,2,,,,,,,,,,
RB,118,Dare,Ogunbowale,HOU,6,7.3,,,,,35,0,8,7,18,0,2,,,,,,,,,,
RB,119,KeShawn,Vaughn,TB,5,6.4,,,,,42,0,24,5,2,0,2,,,,,,,,,,
RB,120,Keith,Smith,ATL,3,6.3,,,,,0,0,0,3,33,0,3,,,,,,,,,,
RB,121,Khari,Blasingame,CHI,7,5.8,,,,,26,0,8,6,2,0,3,,,,,,,,,,
RB,122,Sean,Tucker,TB,3,5.2,,,,,23,0,15,2,9,0,2,,,,,,,,,,
RB,123,Kenyan,Drake,BAL,2,5.1,,,,,0,0,2,3,31,0,2,,,,,,,,,,
RB,124,Rashaad,Penny,PHI,3,4.8,,,,,33,0,11,1,5,0,1,,,,,,,,,,
RB,125,Michael,Burton,DEN,8,4.7,,,,,9,0,7,3,8,0,3,,,,,,,,,,
RB,126,Adam,Prentice,NO,2,4.4,,,,,12,0,2,3,12,0,2,,,,,,,,,,
RB,127,Alex,Armah,WAS,3,4.3,,,,,0,0,0,3,13,0,3,,,,,,,,,,
RB,128,Jashaun,Corbin,NYG,1,4.3,,,,,1,0,1,3,12,0,3,,,,,,,,,,
RB,129,Leonard,Fournette,BUF,2,4,,,,,40,0,12,0,0,0,0,,,,,,,,,,
RB,130,Elijah,Dotson,LAC,1,3.9,,,,,6,0,4,2,13,0,2,,,,,,,,,,
RB,131,Jake,Funk,IND,1,3.2,,,,,10,0,2,1,12,0,1,,,,,,,,,,
RB,132,Zonovan,Knight,DET,2,3.1,,,,,13,0,3,1,8,0,1,,,,,,,,,,
RB,133,Anthony,McFarland,PIT,1,3.1,,,,,0,0,0,2,11,0,2,,,,,,,,,,
RB,134,Derrick,Gore,WAS,2,2.6,,,,,26,0,3,0,0,0,0,,,,,,,,,,
RB,135,Devine,Ozigbo,DET,1,2.3,,,,,5,0,3,1,8,0,1,,,,,,,,,,
RB,136,Jakob,Johnson,LV,1,2.2,,,,,0,0,0,2,12,0,1,,,,,,,,,,
RB,137,Tyrion,Davis-Price,SF,1,2.1,,,,,21,0,6,0,0,0,0,,,,,,,,,,
RB,138,Chris,Evans,CIN,1,2.1,,,,,12,0,2,1,-1,0,1,,,,,,,,,,
RB,139,Zach,Evans,LAR,4,1.9,,,,,19,0,9,0,0,0,0,,,,,,,,,,
RB,140,Evan,Hull,IND,1,1.7,,,,,1,0,1,1,6,0,1,,,,,,,,,,
RB,141,Reggie,Gilliam,BUF,1,1.3,,,,,0,0,0,1,3,0,1,,,,,,,,,,
RB,142,Kene,Nwangwu,MIN,3,1.3,,,,,13,0,5,0,0,0,0,,,,,,,,,,
RB,143,Jonathan,Ward,TEN,1,1.1,,,,,11,0,3,0,0,0,0,,,,,,,,,,
RB,144,James,Robinson,GB,1,1,,,,,2,0,1,1,-2,0,1,,,,,,,,,,
RB,145,Jason,Cabinda,DET,1,0,,,,,0,0,1,0,0,0,0,,,,,,,,,,
RB,146,JaMycal,Hasty,JAC,1,0,,,,,0,0,0,2,0,0,0,,,,,,,,,,
RB,147,Travis,Homer,CHI,1,0,,,,,0,0,0,1,0,0,0,,,,,,,,,,
